Spandau Ballet		Through The Barricades
Blackmore'S Night		Lord Of The Dance / Simple Gifts
Blind Guardian		Skalds And Shadows
Within Temptation		In Perfect Harmony
Scorpions		Wind Of Change
James Blunt		Tears And Rain
Him		The Sacrament
Within Temptation		The Howling
Within Temptation		Memories
Savage Garden		I Don'T Know You Anymore
Savage Garden		Universe
Within Temptation		Bittersweet
Céline Dion		It'S All Coming Back To Me Now
Muse		Supermassive Black Hole
Don Mclean		American Pie
Era		If You Shout
Era		Voxifera
Sonata Arctica		The Wind Beneath My Wings (Bette Midler Cover)
Savage Garden		A Thousand Words
Him		The Funeral Of Hearts (Acoustic)
Amaral		El Universo Sobre Mi
Era	Enae Volare
Epica		Solitary Ground
Enya		Enya - Only Time
Savage Garden		To The Moon & Back
Bette Midler		The Wind Beneath My Wings
Ensiferum	Tears
The Goo Goo Dolls		Better Days

Cyndi Lauper	Time After Time
Nightwish		Nemo
Muse		Starlight
Within Temptation		Our Solemn Hour
Apocalyptica		Nothing Else Matters (Live)
Andrea Bocelli		The Power Of Love
After Forever		Intrinsic
Xandria		Ginger
Sirenia		The Path To Decay
Sirenia		 In Sumerian Haze
Penumbra		Enclosed
Within Temptation	In Perfect Harmony
