Feindflug		Kahle Bedrohung
And One		Panzermensch
Depeche Mode		The Darkest Star
L'Âme Immortelle		Leaving
Yelworc		Claustrophobia
Cut.Rate.Box		Behind The Wheel (F.A. Preve Mix)
Panzer Ag		Chemical Breed
Hocico	Spit As An Offense (Suicide Commando Remix)
Assemblage 23		Opened
Funker Vogt	Thanks For Nothing (Controlled Fusion Remix)
Skinny Puppy		Blue Serge
:Wumpscut:		Frozen Images
Depeche Mode		Halo
Melotron		Es Brennt
Flesh Field		Prophecy (Assemblage 23 Mix)
Panzer Ag		Filth God
Grendel		Soilbleed (Agonoize Remix)
Skinny Puppy		Draining Faces
Covenant		Like Tears In Rain
Panzer Ag		Chemical Breed
Dioxyde		Home
Velvet Acid Christ		Disflux (Feedback Mix)
Wolfsheim		Heroin, She Said
Panzer Ag		Battlefield
Doubting Thomas		The Run
Apoptygma Berzerk		Burnin' Heretic (Album Version)
Switchblade Symphony		Funnel
Wolfsheim		For You
Assemblage 23		Opened
Modulate		V4 Werk
Leæther Strip		Showroom Dummies
Panzer Ag		God Eats God
In Strict Confidence		Seven Lives (Beborn Beton Remix)
Grendel		Dream
Skinny Puppy		Addiction
Haujobb		Yearning
Hocico		Spit As An Offense (Suicide Commando Remix)
Destroid		Contamination

Panzer Ag		Battlefield
Life Cried		Waiting For An End
Velvet Acid Christ		Collapsed
Cut.Rate.Box		Behind The Wheel (F.A. Preve Mix)
Switchblade Symphony		Roller Coaster
Haujobb		The Flood
Leæther Strip		Learning To Fly
Nox Arcana		From Dusk Till Dawn
Nox Arcana		Nursery Rhyme
Vnv Nation	Darkangel (Gabriel)
Wolfsheim		Blind
Audioslave		Show Me How To Live
Ashe		Cry For You
Apoptygma Berzerk		In This Together
