1 Led Zeppelin		Whole Lotta Love
Dread Zeppelin		No Quarter
1 Spoon		Don'T You Evah
Baby Bash Ft. Sean Kingston		What Is It
1 The Moody Blues		The Story In Your Eyes
Red Hot Chili Peppers		Dosed
1 Gorillaz		All Alone
Daft Punk		Vietnam
Gorillaz		12D3
1 The Shins		Know Your Onion!
Tool		Wings For Marie, Part 1
Ozzy Osbourne		Crazy Train
The Doors		Who Scared You
The Jimi Hendrix Experience	I Don'T Live Today
1 Tom Petty		Roll Another Joint
Allister		Flypaper
Calexico		Black Heart
1 Mstrkrft		Easy Love
1 Handsome Boy Modeling School		Are You Down With It (Feat. Mike Patton)
David Guetta		I Love Don'T Let Me Go
Frank Sinatra		Strangers In The Night
1 Mest	Burning Bridges
Supertramp		Take The Long Way Home
1 Bloodhound Gang		Take The Long Way Home
Digital		Static  (NIET GEVONDEN)
1 Red Hot Chili Peppers		Aeroplane
1 Emanuel		Kryptonite
The Devil Wears Prada		Still Fly
Asher Roth		I Love College
1 All Time Low		Umbrella
Set Your Goals		Put Yo Hood Up
The Secret Handshake		I Wish
1 Say Anything		I Got Your Money
The Maine		I Wanna Love You
1 Forever The Sickest Kids		Men In Black
1 The Escape Frame		Nothin But A "G" Thang
Scary Kids Scaring Kids		Notorious Thugs
1 My American Heart		California Love
Lorene Drive		Hey Ya
Hot Rod Circuit	Gin And Juice
1 Person L		The Seed (2.0)
1 The Black Eyed Peas		The Boogie That Be
1 Big Tymers		Still Fly
1 Atmosphere		Trying To Find A Balance
Anoushka Shankar		Naked
1 Air		Sexy Boy
Mike Monday		Catnip (NIET GEVONDEN)
Set Your Goals		Put Yo Hood Up
The Secret Handshake		I Wish
The Escape Frame		Nothin But A "G" Thang
1 Set Your Goals		Put Yo Hood Up


//
11 The Secret Handshake		I Wish
1 The Maine		I Wanna Love You
2 Lorene Drive		Hey Ya
4 Hot Rod Circuit	Gin And Juice
Jack Johnson		Cocoon
Supertramp		Crime Of The Century
Afi		Kill Caustic
Teenage Bad Girls		Cocotte
Afi		Paper Airplanes (Makeshift Wings)
Forgive Durden		Harry Frazee And No, No, Nannette
